"The value of the field should not be more than two decimal places.","The value of the field should not be more than two decimal places."
"Currency does not support decimals.","Currency does not support decimals."
"PayPal's internal controls prevent authorization from being captured.","PayPal's internal controls prevent authorization from being captured."
"A voided authorization cannot be captured or reauthorized.","A voided authorization cannot be captured or reauthorized."
"Maximum number of allowable captures has been reached. No additional captures are possible for this authorization. Please contact customer service or your account manager to change the number of captures that be made for a given authorization.","Maximum number of allowable captures has been reached. No additional captures are possible for this authorization. Please contact customer service or your account manager to change the number of captures that be made for a given authorization."
"Requested invoice number has been previously captured. Possible duplicate transaction.","Requested invoice number has been previously captured. Possible duplicate transaction."
"Currency of capture must be the same as currency of authorization.","Currency of capture must be the same as currency of authorization."
"Authorization has already been captured.","Authorization has already been captured."
"Payer cannot pay for this transaction.","Payer cannot pay for this transaction."
"An expired authorization cannot be captured.","An expired authorization cannot be captured."
"Capture amount exceeds allowable limit.","Capture amount exceeds allowable limit."
"Transaction could not complete because payee account is locked or closed.","Transaction could not complete because payee account is locked or closed."
"The payer account cannot be used for this transaction.","The payer account cannot be used for this transaction."
